GDP,Unemployment,Share_Prices,E1Y
0.565,5.6,-1.377881676,106.7
0.772,5.4,-0.910358516,105.1
0.944,5.4,6.890519715,105.6
1.015,5.3,4.285549909,105.1
1.103,5.1,-0.720935311,109.3
0.491,5,4.820434946,107.5
0.781,5,1.374191554,106.5
0.554,4.7,6.426479345,100.1
1.336,4.6,1.903605752,108.3
0.258,4.6,0.453457497,103.5
0.15,4.4,7.295255813,101.3
0.856,4.5,3.77503406,107.1
0.3,4.5,6.043310531,107.2
0.61,4.7,-0.258061431,103.9
0.574,4.8,1.709584965,100.3
0.626,5,-9.126338157,93.4
-0.428,5.3,2.258206886,87.5
0.594,6,-10.48818335,72.6
-0.527,6.9,-30.43514873,73
-2.213,8.3,-11.04775406,61.9
-1.141,9.3,12.18578055,65.1
-0.179,9.6,13.27442402,69.8
0.351,9.9,9.374591345,70.2
1.075,9.8,1.498517487,73.5
0.483,9.6,-0.885279566,81.8
0.963,9.5,-2.372894362,82.5
0.768,9.5,9.901000064,78.1
0.524,9,7.895869557,81.3
-0.237,9.1,1.020329388,83.8
0.674,9,-9.007152668,82.2
-0.022,8.6,-3.303715944,73.1
1.117,8.3,8.959693837,77.3
0.835,8.2,-2.73337159,84.4
0.445,8,3.196002798,83.9
0.144,7.8,3.054612312,85.7
0.116,7.7,7.673978368,88.6
0.982,7.5,3.930020721,88.3
0.267,7.2,2.995954103,93.9
0.848,6.9,5.363571192,95.5
0.868,6.7,2.474354626,92.1
-0.346,6.2,3.957367137,96
1.284,6.1,2.156936186,96.6
1.208,5.7,-1.657415723,98.7
0.504,5.5,1.12677368,101.9
0.896,5.4,2.068263945,107.1
0.617,5.1,-5.73528023,105.6
0.399,5,-1.24113741,104.5
0.184,4.9,-6.302122352,104.9
0.578,4.9,7.198696731,106.2
0.321,4.9,3.461093255,109.1
0.707,4.8,0.488715038,106.7
0.553,4.6,5.630460903,107.5
0.486,4.4,1.811288816,112
0.558,4.3,2.890422989,112.3
0.785,4.2,4.664623347,112
1.121,4,3.1909557,114.6
0.81,3.9,-2.075447962,115.5
0.529,3.8,2.474578296,114.4
0.622,3.8,-5.885671494,113.3
0.142,3.9,1.454348807,113.8
